site,depth,pH,Na,Mg,Al,Si,K,Ca,Sr,Cl,SO4,NO3
B1R,0.15,4.5,285±8,36±6,2.3±0.5,240±10,11±1,36±6,0.19±0.03,320±10,7±1,130±40
B1R,0.3,4.6,390±20,30±3,3.3±0.6,180±10,11±1,14±2,0.108±0.006,400±20,13±45,100±20
B1R,0.6,4.5,280±10,25±1,2.6±0.5,166±7,5±1,12±2,0.060±0.005,260±10,19±4,80±20
B1R,0.9,4.4,245±5,30±1,4.2±1.0,144±6,5±1,9±2,0.050±0.003,227±8,22±4,84±8
B1R,1.2,4.4,223±3,30±1,4.4±0.7,128±6,5±1,14±1,0.072±0.004,233±5,23.9±0.3,63±4
B1R,1.5,4.5,207±5,34.3±0.5,6±1,121±6,3.9±0.7,13±1,0.075±0.003,229±1,29.6±0.7,56±2
B1R,1.8,,196±7,29.7±0.7,5.9±0.9,131±1,4±1,12±1,0.057±0.003,209±8,22±1,63±9
B1R,2.4,4.8,191±6,32±1,3.6±0.8,174±8,1.4±0.5,19±2,0.104±0.009,231±9,21±2,31±4
B1R,3.4,4.6,200±10,30±2,4 ±1,170±9,3.2±0.7,11±2,0.063±0.002,230±20,20±2,33±4
B1R,4.9,,260±30,36±2,3.4±0.8,170±20,2.3±0.6,23±2,0.057±0.008,290±40,22±2,60±30
B1R,5.8,,290±40,37±3,3 ±1,180±20,2.8±0.6,18±2,0.060±0.006,330±50,20±3,17±2
B1R,6.4,4.7,260±5,41.2±0.6,6±1,191±6,2.4±0.4,12±2,0.073±0.004,318±9,16±1,37±3
B1R,16,,280±20,50±1,4±1,210±5,7±3,12±1,0.060±0.005,370±20,17.6±0.4,24±3
B1precip,,,120±20,11±2,0.5±0.2,2.1±0.3,3.3±0.6,8±1,0.029±0.003,140±20,17±2,nan±nan
B1S1,0.15,4.89,102±7,13±27,0.7±0.2,170±20,6.9±0.7,4 ±1,0.074±0.009,128±3,12±2,9±5
B1S1,0.3,4.4,185±2,34±1,6.3±0.9,149±7,6 ±2,4.4±0.9,0.085±0.002,310±4,1.0±0.3,5±3
B1S1,0.6,4.8,110±5,19.8±0.7,2.9±0.8,91±7,6±3,4.0±0.7,0.033±0.002,164±7,4.3±0.7,6±4
B1S1,0.9,4.6,131±3,23.5±0.3,6.5±0.7,97±6,4±1,2.5±0.9,0.044±0.001,214±4,4.6±0.7,4±2
B1S1,1.2,4.7,111±4,14.8±0.4,6.0±0.8,88±7,4±1,4±3,0.033±0.002,152±1,10.7±0.2,3±1
B1S1,1.5,4.5,154±5,32±1,10±1,87±4,5±2,3±1,0.047±0.003,300±2,2.8±0.1,1.2±0.3
B1S1,1.8,4.6,98±4,17.2±0.6,5.8±0.5,51±6,4.0±1.0,4±1,0.040±0.001,138±6,27.5±0.9,0.7±0.2
B1S1,4.3,4.7,196±9,36±1,6.7±0.3,101±5,0.2±0.2,3±1,0.033±0.001,306±1,3±0.4,6.9±0.5
B1S1,9.3,5.4,257±4,36±1,1.3±0.4,184±4,11.9±0.7,4±1,0.046±0.001,297±3,7.4±0.8,11.8±0.6
B1S2,0.15,4.55,240±10,24±3,2.3±0.5,250±20,7.5±0.6,4.5±0.8,0.048±0.006,250±20,21±5,12±4
B1S2,0.3,4.7,300±20,19±2,2.0±0.8,210±20,10±1,5±2,0.037±0.004,320±20,23±3,4±2
B1S2,0.9,5.2,260±20,12.3±0.4,0.11±0.6,113±5,5.8±0.7,2±2,0.028±0.007,244±8,14±4,4±3
B1S2,1.2,5.1,280±10,12.8±0.4,0.4±0.1,106±9,4.2±0.7,1.2±0.4,0.019±0.001,280±10,14.4±0.8,5±3
B1S2,1.5,5.3,311±9,12.7±0.5,0.5±0.2,110±10,4.3±0.9,0.7±0.4,0.019±0.001,306±7,15.7±0.1,6±2
B1S2,1.8,5.3,240±10,16±3,1±1,106±3,5.2±0.8,4±1,0.034±0.004,233±9,21±3,10±1
B1S2,2.7,5.4,225±5,12.7±0.2,0.4±0.1,133±6,2.4±0.7,4±1,0.032±0.001,217±2,9±1,14±3
B1S3,0.15,4.6,390±50,90±10,1.5±0.6,184±7,12±4,39±5,0.29±0.04,740±60,6±3,1.1±0.7
B1S3,0.3,4.8,540±70,110±20,0.4±0.2,160±10,8±1,40±6,0.33±0.05,970±50,1.3±0.3,3±2
B1S3,0.6,5.6,83±6,4±1,0.06±0.03,130±10,3±1,1.1±0.4,0.013±0.001,25±6,10±1,12±6
B1S3,0.9,5.2,145±7,18±3,0.17±0.6,123±5,1.2±0.8,0.3±0.3,0.019±0.002,150±10,12.2±0.7,2±1
B1S3,1.5,5.7,123±6,10±2,0.9±0.6,128±4,4±1,0.8±0.5,0.020±0.001,66±6,23.3±0.7,6±2
B1S4,0.15,5.7,175±6,55±3,0.2±0.1,199±6,17±2,32±2,0.216±0.008,241±5,15.1±0.8,2±1
B1S4,0.3,5.6,176±5,36±1,0.13±0.06,188±5,9.5±0.4,19±1,0.144±0.006,169±4,14±1,15±4
B1S4,0.6,5.7,231±7,43±2,0.06±0.05,260±8,17.2±0.6,8±1,0.117±0.004,193±1,24.3±0.7,8±3
B1S4,0.9,5.6,201±6,46±4,0.2±0.1,179±7,11.4±1,14±1,0.120±0.005,184±9,16±1,29±6
