,Sampling period,Sample number,d-excess A$_{\mathrm{s}}$ (‰),,F$_{\mathrm{yw}} = \mathrm{A}_{\mathrm{s}}$/$ \mathrm{A}_{\mathrm{p}} $,
,,,unweighted,weighted,unweighted,weighted
"Weighted precipitation: A$_{\mathrm{p, EV}}$ = 3.49 ± 0.27",,,,,,
RI,Apr 2018 - Jul 2020,95.0,0.30 ± 0.04,0.46 ± 0.05,0.09 ± 0.01,0.13 ± 0.02
QG,Apr 2018 - Jul 2020,93.0,0.25 ± 0.05,0.30 ± 0.05,0.07 ± 0.01,0.09 ± 0.02
I0,Jun 2018 - May 2020,10.0,0.31 ± 0.17,,0.09 ± 0.05,
MPR,Apr 2018 - Jul 2020,95.0,0.54 ± 0.05,0.77 ± 0.06,0.15 ± 0.02,0.22 ± 0.02
Q3,Apr 2018 - Jul 2020,96.0,0.31 ± 0.05,,0.09 ± 0.02,
QS,Apr 2018 - Jul 2020,104.0,0.88 ± 0.07,1.58 ± 0.13,0.25 ± 0.03,0.45 ± 0.05
QP,Apr 2018 - Jul 2020,102.0,0.54 ± 0.06,1.18 ± 0.10,0.15 ± 0.02,0.34 ± 0.04
RESSH,Jan 2019 - May 2020,12.0,0.66 ± 0.19,,0.19 ± 0.06,
